"ID","sample1","sample2","sample3"
1,629,737,913
2,737,913,629
3,913,629,737
4,913,737,629
5,629,913,737
6,737,629,913
7,629,737,913
8,737,913,629
9,913,629,737
10,913,737,629
11,629,913,737
12,737,629,913
13,629,737,913
14,737,913,629
15,913,629,737
16,913,737,629
17,629,913,737
18,737,629,913
19,629,737,913
20,737,913,629
21,913,629,737
22,913,737,629
23,629,913,737
24,737,629,913
25,629,737,913
26,737,913,629
27,913,629,737
28,913,737,629
29,629,913,737
30,737,629,913
31,629,737,913
32,737,913,629
33,913,629,737
34,913,737,629
35,629,913,737
36,737,629,913
37,629,737,913
38,737,913,629
39,913,629,737
40,913,737,629
41,629,913,737
42,737,629,913
43,629,737,913
44,737,913,629
45,913,629,737
46,913,737,629
47,629,913,737
48,737,629,913
49,629,737,913
50,737,913,629
51,913,629,737
52,913,737,629
53,629,913,737
54,737,629,913
55,629,737,913
56,737,913,629
57,913,629,737
58,913,737,629
59,629,913,737
60,737,629,913
61,629,737,913
62,737,913,629
63,913,629,737
64,913,737,629
65,629,913,737
66,737,629,913
67,629,737,913
68,737,913,629
69,913,629,737
70,913,737,629
71,629,913,737
72,737,629,913
73,629,737,913
74,737,913,629
75,913,629,737
76,913,737,629
77,629,913,737
78,737,629,913
79,629,737,913
80,737,913,629
81,913,629,737
82,913,737,629
83,629,913,737
84,737,629,913
85,629,737,913
86,737,913,629
87,913,629,737
88,913,737,629
89,629,913,737
90,737,629,913
91,629,737,913
92,737,913,629
93,913,629,737
94,913,737,629
95,629,913,737
96,737,629,913
97,629,737,913
98,737,913,629
99,913,629,737
100,913,737,629
101,629,913,737
102,737,629,913
103,629,737,913
104,737,913,629
105,913,629,737
106,913,737,629
107,629,913,737
108,737,629,913
109,629,737,913
110,737,913,629
111,913,629,737
112,913,737,629
113,629,913,737
114,737,629,913
115,629,737,913
116,737,913,629
117,913,629,737
118,913,737,629
119,629,913,737
120,737,629,913
121,629,737,913
122,737,913,629
123,913,629,737
124,913,737,629
125,629,913,737
126,737,629,913
127,629,737,913
128,737,913,629
129,913,629,737
130,913,737,629
131,629,913,737
132,737,629,913
133,629,737,913
134,737,913,629
135,913,629,737
136,913,737,629
137,629,913,737
138,737,629,913
139,629,737,913
140,737,913,629
141,913,629,737
142,913,737,629
143,629,913,737
144,737,629,913
145,629,737,913
146,737,913,629
147,913,629,737
148,913,737,629
149,629,913,737
150,737,629,913
151,629,737,913
152,737,913,629
153,913,629,737
154,913,737,629
155,629,913,737
156,737,629,913
157,629,737,913
158,737,913,629
159,913,629,737
160,913,737,629
161,629,913,737
162,737,629,913
163,629,737,913
164,737,913,629
165,913,629,737
166,913,737,629
167,629,913,737
168,737,629,913
169,629,737,913
170,737,913,629
171,913,629,737
172,913,737,629
173,629,913,737
174,737,629,913
175,629,737,913
176,737,913,629
177,913,629,737
178,913,737,629
179,629,913,737
180,737,629,913
181,629,737,913
182,737,913,629
183,913,629,737
184,913,737,629
185,629,913,737
186,737,629,913
187,629,737,913
188,737,913,629
189,913,629,737
190,913,737,629
191,629,913,737
192,737,629,913
193,629,737,913
194,737,913,629
195,913,629,737
196,913,737,629
197,629,913,737
198,737,629,913
199,629,737,913
200,737,913,629
